,batsman,opponent_team,venue,50+ on ground,100+ on ground,avg_runs_ground,avg_runs_to_opponent,50+_runs_against_opponent,100+_runs_against_opponent,player_strength
0,AM Rahane,Mumbai Indians,Wankhede Stadium,2,0,46.8,29.352941176470587,4,0,38.275151515151514
1,AT Rayudu,Rising Pune Supergiants,Wankhede Stadium,0,0,15.88888888888889,22.0,0,0,20.057142857142857
2,F du Plessis,Mumbai Indians,Wankhede Stadium,1,0,37.0,32.9,4,0,28.544444444444444
3,HH Pandya,Rising Pune Supergiants,Wankhede Stadium,0,0,16.12,9.0,0,0,12.423076923076923
4,Harbhajan Singh,Rising Pune Supergiants,Wankhede Stadium,0,0,8.666666666666666,45.0,0,0,38.41612903225806
5,JC Buttler,Rising Pune Supergiants,Wankhede Stadium,2,0,32.333333333333336,13.5,0,0,0.2
6,KA Pollard,Rising Pune Supergiants,Wankhede Stadium,4,0,21.40909090909091,1.0,0,0,2.4
7,KP Pietersen,Mumbai Indians,Wankhede Stadium,0,0,21.0,21.0,0,0,26.0
8,LMP Simmons,Rising Pune Supergiants,Wankhede Stadium,1,0,24.0,8.0,0,0,14.5
9,MJ McClenaghan,Rising Pune Supergiants,Wankhede Stadium,0,0,5.142857142857143,2.0,0,0,11.0
10,R Vinay Kumar,Rising Pune Supergiants,Wankhede Stadium,0,0,12.0,12.0,0,0,17.409090909090907
11,RG Sharma,Rising Pune Supergiants,Wankhede Stadium,6,0,25.68,46.0,1,0,17.7
12,S Gopal,Rising Pune Supergiants,Wankhede Stadium,0,0,7.5,2.0,0,0,3.6500000000000004
13,A Mishra,Kolkata Knight Riders,Eden Gardens,0,0,3.0,3.0,0,0,5.433333333333334
14,CH Morris,Kolkata Knight Riders,Eden Gardens,0,0,8.0,6.666666666666667,0,0,13.855555555555554
15,CR Brathwaite,Kolkata Knight Riders,Eden Gardens,0,0,6.25,12.75,0,0,17.8
16,G Gambhir,Delhi Daredevils,Eden Gardens,5,0,32.4,32.25,1,0,40.36671785870996
17,KK Nair,Kolkata Knight Riders,Eden Gardens,0,0,9.0,18.0,1,0,11.283333333333331
18,MA Agarwal,Kolkata Knight Riders,Eden Gardens,1,0,23.0,23.636363636363637,2,0,23.158558558558564
19,MK Pandey,Delhi Daredevils,Eden Gardens,2,0,25.133333333333333,27.5,1,0,17.9
20,NM Coulter-Nile,Kolkata Knight Riders,Eden Gardens,0,0,5.0,7.0,0,0,10.563636363636363
21,P Negi,Kolkata Knight Riders,Eden Gardens,0,0,6.5,6.0,0,0,10.278070175438597
22,Q de Kock,Kolkata Knight Riders,Eden Gardens,0,0,7.0,33.46153846153846,4,1,12.933333333333335
23,RV Uthappa,Delhi Daredevils,Eden Gardens,5,0,24.037037037037038,34.333333333333336,2,0,38.16661350345561
24,SS Iyer,Kolkata Knight Riders,Eden Gardens,0,0,14.25,29.923076923076923,2,0,16.71547619047619
25,SV Samson,Kolkata Knight Riders,Eden Gardens,2,0,31.8,27.466666666666665,3,0,30.070499325236163
26,Z Khan,Kolkata Knight Riders,Eden Gardens,0,0,4.0,4.0,0,0,7.2444444444444445
27,AJ Finch,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,38.0,25.8,1,0,32.40833333333334
28,AR Patel,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,7.857142857142857,10.0,0,0,21.5
29,BB McCullum,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0.0,1.75,0,0,0.2
30,DA Miller,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,12.714285714285714,23.0,0,0,21.636363636363633
31,DJ Bravo,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,2.0,1.0,0,0,11.0
32,GJ Maxwell,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,21.75,13.25,0,0,17.290909090909093
33,Ishan Kishan,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,20.0,19.25,0,0,23.416666666666664
34,KD Karthik,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,38.0,30.9,3,0,34.993311036789294
35,M Vijay,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,0,37.142857142857146,48.5,1,0,34.85294117647059
36,M Vohra,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,22.0,20.0,0,0,35.83333333333333
37,MP Stoinis,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,39.666666666666664,22.333333333333332,0,0,31.447826086956525
38,RA Jadeja,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,7.5,10.8,0,0,11.908333333333333
39,SK Raina,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,29.5,34.285714285714285,2,0,32.19090909090909
40,WP Saha,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,20.875,21.0,0,0,18.492307692307694
41,A Ashish Reddy,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,32.0,17.0,0,0,34.477777777777774
42,AB de Villiers,Sunrisers Hyderabad,M Chinnaswamy Stadium,4,1,32.285714285714285,30.083333333333332,4,0,35.984848484848484
43,CH Gayle,Sunrisers Hyderabad,M Chinnaswamy Stadium,2,0,17.25,30.5,2,1,30.71829268292683
44,DA Warner,Royal Challengers Bangalore,M Chinnaswamy Stadium,2,0,54.666666666666664,43.75,6,1,52.75
45,DJ Hooda,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,4.5,10.1,0,0,9.385714285714286
46,EJG Morgan,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,22.0,18.8,0,0,23.72222222222222
47,KM Jadhav,Sunrisers Hyderabad,M Chinnaswamy Stadium,0,0,12.714285714285714,13.166666666666666,0,0,17.43333333333333
48,KV Sharma,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,26.0,17.5,0,0,28.34444444444444
49,MC Henriques,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,11.5,23.6,1,0,14.358333333333334
50,NV Ojha,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,7.666666666666667,2.6666666666666665,0,0,10.8
51,S Dhawan,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,15.666666666666666,26.214285714285715,2,0,19.67905982905983
52,SN Khan,Sunrisers Hyderabad,M Chinnaswamy Stadium,0,0,18.0,19.0,0,0,52.6
53,SR Watson,Sunrisers Hyderabad,M Chinnaswamy Stadium,0,0,15.181818181818182,33.916666666666664,3,1,24.616666666666667
54,V Kohli,Sunrisers Hyderabad,M Chinnaswamy Stadium,8,3,50.57142857142857,25.2,3,1,48.65294117647059
55,AD Russell,Mumbai Indians,Eden Gardens,2,0,30.11111111111111,18.5,1,0,35.12727272727273
56,C Munro,Mumbai Indians,Eden Gardens,0,0,7.0,3.5,0,0,8.966666666666665
57,G Gambhir,Mumbai Indians,Eden Gardens,5,0,32.4,31.666666666666668,2,0,34.54075630252101
58,HH Pandya,Kolkata Knight Riders,Eden Gardens,1,0,30.0,30.09090909090909,2,0,28.462821492233257
59,JC Buttler,Kolkata Knight Riders,Eden Gardens,0,0,40.0,30.833333333333332,1,1,38.59644268774703
60,KA Pollard,Kolkata Knight Riders,Eden Gardens,0,0,11.333333333333334,17.0,1,0,16.513997113997114
61,MJ McClenaghan,Kolkata Knight Riders,Eden Gardens,0,0,20.0,20.0,0,0,35.3
62,MK Pandey,Mumbai Indians,Eden Gardens,2,0,25.133333333333333,33.42857142857143,4,0,35.81666666666667
63,PA Patel,Kolkata Knight Riders,Eden Gardens,0,0,17.0,17.333333333333332,0,0,19.26060606060606
64,RG Sharma,Kolkata Knight Riders,Eden Gardens,1,0,39.75,33.5625,4,0,34.05719696969697
65,RV Uthappa,Mumbai Indians,Eden Gardens,5,0,24.037037037037038,18.454545454545453,1,0,12.456410256410257
66,SA Yadav,Mumbai Indians,Eden Gardens,0,0,13.1,18.25,0,0,42.0
